event,file_size,storage_mode,max_erasures,time
erasure_write,100000,erasure_coding_rs,1,0.006705045700073242
finished,100000,erasure_coding_rs,1,0.008002758026123047
erasure_write,100000,erasure_coding_rs,1,0.005314826965332031
finished,100000,erasure_coding_rs,1,0.006255388259887695
erasure_write,100000,erasure_coding_rs,1,0.006818532943725586
finished,100000,erasure_coding_rs,1,0.007872343063354492
erasure_write,100000,erasure_coding_rs,1,0.00543212890625
finished,100000,erasure_coding_rs,1,0.0064945220947265625
erasure_write,100000,erasure_coding_rs,1,0.005892038345336914
finished,100000,erasure_coding_rs,1,0.006865262985229492
erasure_write,100000,erasure_coding_rs,1,0.005503177642822266
finished,100000,erasure_coding_rs,1,0.006527900695800781
erasure_write,100000,erasure_coding_rs,1,0.005504131317138672
finished,100000,erasure_coding_rs,1,0.00646662712097168
erasure_write,100000,erasure_coding_rs,1,0.006171464920043945
finished,100000,erasure_coding_rs,1,0.007160186767578125
erasure_write,100000,erasure_coding_rs,1,0.0053942203521728516
finished,100000,erasure_coding_rs,1,0.0063076019287109375
erasure_write,100000,erasure_coding_rs,1,0.005571603775024414
finished,100000,erasure_coding_rs,1,0.006632089614868164
erasure_write,100000,erasure_coding_rs,1,0.005323648452758789
finished,100000,erasure_coding_rs,1,0.0063054561614990234
erasure_write,100000,erasure_coding_rs,1,0.005856513977050781
finished,100000,erasure_coding_rs,1,0.0071446895599365234
erasure_write,100000,erasure_coding_rs,1,0.0053691864013671875
finished,100000,erasure_coding_rs,1,0.006308078765869141
erasure_write,100000,erasure_coding_rs,1,0.005712747573852539
finished,100000,erasure_coding_rs,1,0.006981849670410156
erasure_write,100000,erasure_coding_rs,1,0.005379676818847656
finished,100000,erasure_coding_rs,1,0.006392478942871094
erasure_write,100000,erasure_coding_rs,1,0.006724834442138672
finished,100000,erasure_coding_rs,1,0.007690906524658203
erasure_write,100000,erasure_coding_rs,1,0.005324363708496094
finished,100000,erasure_coding_rs,1,0.006312847137451172
erasure_write,100000,erasure_coding_rs,1,0.005961418151855469
finished,100000,erasure_coding_rs,1,0.006940364837646484
erasure_write,100000,erasure_coding_rs,1,0.005294322967529297
finished,100000,erasure_coding_rs,1,0.006428956985473633
erasure_write,100000,erasure_coding_rs,1,0.005464076995849609
finished,100000,erasure_coding_rs,1,0.006395101547241211
erasure_write,100000,erasure_coding_rs,1,0.00539708137512207
finished,100000,erasure_coding_rs,1,0.006331205368041992
erasure_write,100000,erasure_coding_rs,1,0.006623268127441406
finished,100000,erasure_coding_rs,1,0.02467942237854004
erasure_write,100000,erasure_coding_rs,1,0.00531768798828125
finished,100000,erasure_coding_rs,1,0.0062520503997802734
erasure_write,100000,erasure_coding_rs,1,0.005815267562866211
finished,100000,erasure_coding_rs,1,0.0067596435546875
erasure_write,100000,erasure_coding_rs,1,0.005347490310668945
finished,100000,erasure_coding_rs,1,0.006252288818359375
erasure_write,100000,erasure_coding_rs,1,0.0055201053619384766
finished,100000,erasure_coding_rs,1,0.006497621536254883
erasure_write,1000000,erasure_coding_rs,1,0.01048898696899414
finished,1000000,erasure_coding_rs,1,0.011804342269897461
erasure_write,1000000,erasure_coding_rs,1,0.0087432861328125
finished,1000000,erasure_coding_rs,1,0.009690046310424805
erasure_write,1000000,erasure_coding_rs,1,0.008932828903198242
finished,1000000,erasure_coding_rs,1,0.010184764862060547
erasure_write,1000000,erasure_coding_rs,1,0.010226726531982422
finished,1000000,erasure_coding_rs,1,0.011411428451538086
erasure_write,1000000,erasure_coding_rs,1,0.008847236633300781
finished,1000000,erasure_coding_rs,1,0.009854793548583984
erasure_write,1000000,erasure_coding_rs,1,0.008498191833496094
finished,1000000,erasure_coding_rs,1,0.009490728378295898
erasure_write,1000000,erasure_coding_rs,1,0.009063243865966797
finished,1000000,erasure_coding_rs,1,0.009984970092773438
erasure_write,1000000,erasure_coding_rs,1,0.00979924201965332
finished,1000000,erasure_coding_rs,1,0.011207342147827148
erasure_write,1000000,erasure_coding_rs,1,0.008898258209228516
finished,1000000,erasure_coding_rs,1,0.009813070297241211
erasure_write,1000000,erasure_coding_rs,1,0.008483409881591797
finished,1000000,erasure_coding_rs,1,0.009387493133544922
erasure_write,1000000,erasure_coding_rs,1,0.008584976196289062
finished,1000000,erasure_coding_rs,1,0.009505987167358398
erasure_write,1000000,erasure_coding_rs,1,0.00916433334350586
finished,1000000,erasure_coding_rs,1,0.010068893432617188
erasure_write,1000000,erasure_coding_rs,1,0.009265422821044922
finished,1000000,erasure_coding_rs,1,0.010172843933105469
erasure_write,1000000,erasure_coding_rs,1,0.010422468185424805
finished,1000000,erasure_coding_rs,1,0.012146472930908203
